segment_id,start_idx,end_idx,length,delimiter,text
1,0,185,185,newline,La casa se veía más pequeña que antes. O tal vez Lucía había pasado demasiado tiempo lejos de este lugar donde las distancias se medían en mareas y los calendarios se escribían con sal.
2,186,391,205,newline,"Su mamá no se había movido de la mecedora. Seguía ahí, balanceándose con un ritmo que parecía seguir el compás de las olas, los ojos fijos en el horizonte como si estuviera leyendo algo escrito en el agua."
3,393,399,6,newline,¿Mamá?
4,400,460,60,newline,"La mujer tardó en voltear, como si regresara de muy adentro."
5,462,488,26,newline,Creí que no ibas a volver.
6,489,710,221,newline,"No hubo abrazo. No hubo lágrimas. Solo esa constatación que cortaba como vidrio de botella en la arena. Lucía dejó caer la mochila y se sentó en el escalón del corredor, a la distancia exacta que habían mantenido siempre."
7,712,729,17,newline,¿Dónde está Rafo?
8,731,783,52,newline,El mar a veces se queda con lo que se quiere quedar.
9,784,1017,233,newline,"Ahí estaba otra vez. Esa costumbre de hablar en acertijos, como si las palabras directas fueran peligrosas. Cinco años fuera habían hecho que Lucía se acostumbrara a conversaciones claras, a preguntas que tenían respuestas concretas."
10,1019,1167,148,newline,"No me hables como si fuera turista, mamá. Su kayak apareció intacto en la playa. Los de búsqueda y rescate dicen que no hay indicios de ahogamiento."
11,1169,1205,36,newline,"Hay muchas formas de ahogarse, hija."
12,1207,1459,252,newline,"Su mamá se siguió meciendo, con esa persistencia que Lucía recordaba de la infancia. Cuando había tormenta, ella se sentaba en esa misma mecedora y no se movía hasta que pasara el temporal. Como si su quietud fuera lo único que mantenía la casa en pie."
13,1461,1486,25,newline,¿Hablaste con la policía?
14,1488,1523,35,newline,La policía no entiende estas cosas.
15,1525,1549,24,newline,¿Y el comité del puerto?
16,1550,1584,34,newline,"Por primera vez, paró la mecedora."
17,1586,1622,36,newline,El comité dice que no busquemos más.
18,1624,1636,12,newline,¿Por qué no?
19,1638,1671,33,newline,Porque dicen que es caso perdido.
20,1672,1853,181,newline,Lucía sintió una gran irritación subiéndole por la garganta. Era como tratar de agarrar agua con las manos. Cada respuesta se escurría antes de que pudiera entenderla completamente.
